,Unnamed: 0,Subdistcode,Subdistrict,Districtcode,Population,Males,Females,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,Age not stated
359,354,3108,Garabandha,389,23224,11408,11816,2354,2888,2683,2198,1950,1806,1567,1602,1422,1196,918,721,775,449,315,117,121,133
360,356,3110,Gochhapada,390,26534,12964,13570,2700,3295,3127,2332,2253,2094,1712,1738,1606,1366,1076,890,1051,570,372,151,150,44
361,357,3111,Phulabani ,390,31134,15423,15711,3168,3866,3669,2737,2643,2457,2009,2040,1884,1602,1263,1044,1233,669,436,177,176,52
362,358,3112,Phulabani Town  ,390,28875,14916,13959,2938,3586,3402,2538,2451,2278,1863,1892,1747,1486,1171,968,1144,620,405,164,163,48
363,359,3113,Khajuripada,390,31728,15784,15944,3229,3940,3739,2789,2694,2504,2047,2079,1920,1633,1287,1064,1257,681,445,181,179,53
364,360,3114,G.Udayagiri,390,36414,17526,18888,3706,4522,4291,3201,3092,2873,2349,2386,2204,1874,1477,1221,1443,782,511,207,206,61
365,361,3115,Tikabali,390,36312,17700,18612,3695,4509,4279,3192,3083,2865,2343,2379,2198,1869,1473,1218,1439,780,509,207,205,61
366,362,3116,Chakapada ,390,16961,8438,8523,1726,2106,1998,1491,1440,1338,1094,1111,1026,873,688,568,672,364,238,96,96,28
367,363,3117,Sarangagarh ,390,26342,12924,13418,2681,3271,3104,2315,2236,2079,1699,1726,1594,1356,1068,883,1043,566,369,150,149,44
368,364,3118,Phiringia ,390,39936,19467,20469,4064,4959,4706,3510,3391,3151,2577,2617,2417,2055,1620,1339,1582,858,560,228,226,67
369,365,3119,Baliguda,390,72376,35511,36865,7366,8988,8529,6362,6145,5712,4670,4743,4381,3726,2936,2428,2868,1555,1015,413,410,122
370,366,3120,Nuagaon,390,14435,6986,7449,1469,1792,1701,1269,1225,1139,931,945,873,743,585,484,572,310,202,82,81,24
371,367,3121,Tumudibandha,390,21274,10521,10753,2165,2642,2507,1870,1806,1679,1372,1394,1287,1095,863,713,843,457,298,121,120,35
372,368,3122,Belaghar ,390,14541,6993,7548,1480,1805,1713,1278,1234,1147,938,952,880,748,589,487,576,312,204,83,82,24
373,369,3123,Kotagarh ,390,35709,17591,18118,3634,4434,4208,3139,3032,2818,2304,2340,2161,1838,1448,1197,1415,767,501,203,202,60
374,370,3124,Brahmanigaon ,390,27214,13240,13974,2769,3379,3207,2392,2310,2147,1756,1783,1647,1401,1103,912,1078,584,381,155,154,45
375,371,3125,Daringbadi ,390,47357,23112,24245,4820,5881,5581,4163,4021,3737,3056,3103,2866,2438,1921,1588,1876,1017,664,270,268,79
376,372,3126,Raikia,390,39385,19232,20153,4008,4891,4641,3462,3344,3108,2541,2581,2384,2027,1597,1321,1560,846,552,224,223,66
377,373,3127,Kantamal ,391,55833,27900,27933,5560,5775,6621,5130,4573,4416,3931,3951,3367,2868,2277,1981,2143,1306,978,395,415,136
